gene,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63
P00519,-5.965049,-1.7524705,-0.7005144,-0.021299466,-0.09283243,-0.48598745,-0.37035063,-1.0394421,-0.45577526,-1.3226484,-0.677894,-0.86170506,-1.8788041,-0.45431548,-2.0806453,1.0043442,-2.0543835,1.1028634,0.14322042,-0.17043968,1.092572,-2.6689646,0.68435204,-2.5098574,-3.0634558,-1.216428,4.1682715,0.10533527,6.1343293,2.714112,1.0731882,1.4532732,0.84411657,0.37386584,1.190089,-0.07049033,-0.007990283,0.22713724,0.55313957,0.2734586,-0.056131907,0.7009968,0.57845545,0.022040606,0.018263653,-0.030692862,-0.14148748,0.19631213,-0.041927453,0.13583283,0.11244336,-0.06455116,-0.012084185,0.12323656,-0.023357948,0.027098471,-0.17229061,0.22840954,0.079426676,-0.006756955,0.072167255,0.083706394,-0.18161419,0.122671805
P01133,-5.5210752,-1.7035686,-0.5931708,0.38737625,-0.14071214,-0.5460839,-0.3681993,-0.3769355,-0.47802353,-0.4892899,-0.122234575,-0.32344422,-1.3530669,0.45069954,-0.9792403,0.36962166,0.22985189,0.3092008,0.035717268,0.68369526,-0.25006637,-0.33500633,0.15789124,-0.10915203,-0.049861666,-0.43313423,-0.24263743,0.7495537,-1.8161701,0.3096768,0.5055439,-0.5498889,0.6969657,-0.4730542,-0.68427545,-0.41949964,0.29406145,-0.3557854,-0.17204684,-0.78478485,-0.42923403,-0.9433556,0.5573912,0.079025485,-0.4050609,-0.07555781,0.17823462,-0.04455366,0.63703203,0.3380525,-0.20864014,0.036040727,-0.476033,-0.42700985,-0.012346818,-0.21812673,-0.05415709,-0.78176713,0.043882646,-0.21968144,0.19716653,-0.63066053,-0.3306133,0.12405347
P01303,-5.837171,-1.7161736,-0.652119,-0.009699013,-0.17269595,-0.9518607,-0.54144156,5.338407,0.29874113,-0.72224224,-0.46206754,-0.47244507,-0.41084984,-0.6254228,-0.8227562,0.5239061,-1.4818691,0.3294023,0.08551184,-0.4381257,0.58398163,-0.80303675,0.29356375,-0.5244005,-0.6612915,0.001183512,-0.34385505,-0.6495079,-0.67412126,-1.4923701,-1.2366931,-0.82355064,-1.9534461,0.52211964,-1.6582859,3.6633267,0.7155311,-4.225422,1.514457,-0.933531,-1.6256057,-1.6788381,1.9518756,-2.5191898,5.8049498,-1.8211436,1.5762858,-0.1593525,-0.42318636,-0.5542029,-0.33991012,0.81614596,0.12030168,-1.0307621,0.27441102,0.027331844,1.5075687,-3.748787,-5.491286,-4.0241566,2.8523853,9.080237,-2.2885628,0.12335246
P01584,-5.6909084,-1.6287458,-0.6195999,-0.011852512,-0.07401224,-0.37507468,-0.2814361,-0.7454861,-0.3279596,-0.8981465,-0.44894844,-0.56233907,-1.1960452,-0.24362935,-1.2106429,0.55407387,-1.0152391,0.51982915,0.009367886,0.16197515,0.17922655,-0.62859964,0.09761289,-0.49309424,-0.536714,-0.10950932,-0.288984,-0.07804235,-1.2548819,-0.7030567,-0.45280814,-0.6939442,-0.5117436,-0.26380262,-0.920298,0.0640114,0.060478136,-0.24345051,-0.6254924,-0.4310057,0.052085206,-1.1099803,-0.92484736,0.0557106,-0.023316478,0.38739824,0.12881735,-0.29060212,-0.39546436,-0.80959535,0.12071402,1.1206175,-0.644427,-1.761724,1.622511,-0.65925795,-0.44294298,-0.58331335,0.56210095,0.079302,-1.0781686,0.06970517,0.49416727,-1.0792978
P05129,-4.9796495,-1.3826245,-0.5991023,0.011977068,-0.008686478,-0.3730581,-0.18653284,-0.7531791,-0.35836577,-0.9420023,-0.17323963,-0.6482427,-1.0184891,-0.016262962,-0.9288322,0.26703382,-1.0941156,0.1697857,-0.19478789,-0.2045369,0.42729795,-0.81395453,-0.03944891,-0.11577655,-0.28788662,-0.043504007,0.14939596,-0.57751137,-1.2072784,-0.3810386,-0.061462738,-0.34095046,-0.6266233,0.059012637,-0.75964004,-0.00708656,0.3014465,-0.16401678,-0.19888894,0.42593008,0.40098435,-0.7594931,-0.6702789,0.07212271,-0.24309729,-0.7246036,0.9062117,-0.24651568,0.62319803,-0.4104745,-0.4088388,0.77636707,0.62958616,-0.65400255,0.51799816,0.073837735,-0.046232216,-0.6782938,-0.47451198,0.012960934,0.25115183,-0.60180503,0.5358402,-0.36068496
P05771,-5.5210752,-1.7035686,-0.59317076,0.38737634,-0.14071219,-0.546084,-0.36819968,-0.37693498,-0.47802368,-0.48928893,-0.12223206,-0.32344455,-1.3530663,0.45070174,-0.97924066,0.36962202,0.2298492,0.30920276,0.035718672,0.6836958,-0.2500669,-0.33500585,0.15789123,-0.10915142,-0.049861886,-0.43313226,-0.24263558,0.74955356,-1.8161694,0.30967906,0.5055439,-0.5498879,0.6969649,-0.47305343,-0.6842752,-0.41949967,0.29406118,-0.35578468,-0.17204703,-0.78478384,-0.4292333,-0.94335586,0.557392,0.07902543,-0.40506193,-0.075557366,0.17823589,-0.04455404,0.6370321,0.33805212,-0.20864,0.03604016,-0.4760329,-0.42700982,-0.012347517,-0.21812671,-0.05415695,-0.7817677,0.043882083,-0.21968187,0.1971669,-0.6306602,-0.33061355,0.12405304
P06213,-5.8588586,-1.7045528,-0.6691876,-0.019899774,-0.08517402,-0.4418658,-0.33501565,-0.9294548,-0.4050804,-1.1683453,-0.5956081,-0.7516428,-1.617974,-0.3864145,-1.7552565,0.84301025,-1.6911918,0.8818906,0.11202715,-0.12893124,0.8227243,-1.9786822,0.5017367,-1.8012366,-2.150646,-0.84798086,2.6340795,0.064181596,3.616162,1.5750768,0.58459336,0.75648147,0.40741456,0.16857839,0.535578,-0.028255722,-0.0031267253,0.087707676,0.20210685,0.09365077,-0.01865172,0.22795874,0.17093654,0.0056854826,0.004074904,-0.006361627,-0.025708497,0.031663235,-0.0063116695,0.018997235,0.014302609,-0.008192071,-0.0008951845,0.012732293,-0.0025076696,0.0022976755,-0.011279618,0.010892246,0.0028816706,-1.5456342e-05,0.0013911393,-0.0005680903,0.00070917944,-0.0030621581
P06307,-5.6909084,-1.6287458,-0.6195999,-0.011852496,-0.074012175,-0.37507433,-0.2814356,-0.7454857,-0.3279596,-0.8981482,-0.44894928,-0.5623402,-1.1960462,-0.24362871,-1.2106432,0.5540747,-1.0152373,0.5198275,0.009366957,0.16197677,0.17922671,-0.6286,0.097612634,-0.4930941,-0.53671485,-0.109508574,-0.28898394,-0.07804185,-1.254882,-0.70305586,-0.4528089,-0.6939461,-0.5117428,-0.26380116,-0.9202978,0.06401119,0.060477477,-0.24345033,-0.6254938,-0.43100524,0.052084375,-1.1099805,-0.9248477,0.055711016,-0.023316335,0.38739735,0.12881689,-0.2906013,-0.3954648,-0.80959606,0.1207141,1.1206175,-0.6444275,-1.7617236,1.6225111,-0.6592583,-0.44294325,-0.58331347,0.56209946,0.07930188,-1.0781689,0.06970352,0.4941665,-1.0792983
P06881,-5.3173575,-1.5840207,-0.45761314,0.47097796,0.3089233,-0.6010585,-0.4716937,-0.24085504,-0.18946457,-0.22371566,0.12292867,-0.18576775,-1.2081721,0.4479324,-0.98382527,0.17853498,0.557234,0.37357455,-0.108383514,0.968576,-0.5043587,-0.123287775,-0.48650154,-0.41779828,0.24388698,-0.4829313,-0.0030036548,1.3185599,-2.056274,1.0870249,0.85014266,-0.25260934,0.35771325,-0.6936332,-0.2134768,0.12217837,-0.28025058,-0.34641892,-0.25206044,-0.12851529,-0.15291637,-0.6990531,0.47940984,-0.4159059,-0.2945431,-0.027305514,0.03193194,0.25727004,0.27979144,0.14978535,-0.51454794,-0.3343244,0.251151,0.20232758,0.22768086,-0.08824007,0.21678272,0.33913738,-0.45388237,0.041614894,0.37500957,-0.08667745,0.46587703,-0.38441435
P07492,-5.8133774,-1.6834718,-0.6547009,-0.019210707,-0.08120419,-0.41839045,-0.31593522,-0.8680171,-0.37625217,-1.0789835,-0.5471825,-0.68544155,-1.4548663,-0.34229827,-1.538357,0.73374516,-1.4294305,0.706552,0.0853237,-0.08882676,0.5574856,-1.258506,0.30267784,-0.95837885,-0.95674545,-0.35061455,-0.87818646,-0.05842702,-6.5079303,-3.8729994,-7.813543,17.505049,2.663553,0.81634617,2.5788326,-0.111809,-0.012170795,0.33731374,0.75629836,0.34534943,-0.0685662,0.8389046,0.6364477,0.02198336,0.016925767,-0.027425263,-0.11900769,0.1580185,-0.032962285,0.10441948,0.08417363,-0.04813641,-0.008141379,0.08753332,-0.016631426,0.018451933,-0.11293138,0.14411649,0.048795443,-0.0038605023,0.04266615,0.046866074,-0.10203823,0.06570617
P07550,16.673376,-2.474728,-2.3285618,16.434969,-8.112039,-1.9865855,4.239171,-1.3121858,-3.0758936,-2.4177063,38.269947,-1.0161442,2.1288714,2.2969966,0.85924506,-13.969643,-3.0773108,-4.2028575,-7.6903486,-2.6828723,1.619324,-0.38940033,1.2964935,-0.5262867,0.9667625,2.274377,1.0415913,1.5565594,0.9862327,-0.599328,-0.725041,-0.20238666,1.1110173,0.38098368,0.7275162,0.8350457,-0.61650425,0.31425786,0.19301194,0.33404574,-0.91816294,0.26558593,0.45277768,3.8055272,0.35011017,-2.4662418,1.6340634,1.8969227,0.46227714,-3.005609,-3.6128273,0.1461852,-2.884272,-1.3242499,-0.6150628,-1.8034756,6.5109677,1.610276,-0.038660347,0.30866954,-3.149919,-0.2439004,-1.4826925,0.43387014
P07948,-5.8603168,-1.7052106,-0.6696171,-0.019918926,-0.085278936,-0.44247073,-0.33550045,-0.9309616,-0.40577546,-1.1704587,-0.5967343,-0.7531492,-1.6215461,-0.3873456,-1.759713,0.8452181,-1.6961628,0.8849149,0.11245406,-0.12950075,0.826414,-1.9881166,0.50423384,-1.810918,-2.1631162,-0.8530121,2.6550026,0.064742796,3.6504743,1.59059,0.59124345,0.7659564,0.41334793,0.171365,0.5444609,-0.028828254,-0.003192916,0.08959581,0.20685637,0.096081674,-0.019158503,0.23434801,0.17643291,0.005905884,0.0042653102,-0.006687108,-0.027260207,0.03386664,-0.006787875,0.020557595,0.015611384,-0.008945269,-0.0010422736,0.014205916,-0.0027867828,0.0026276507,-0.013415189,0.013774129,0.0038955852,-0.000103977356,0.0023271276,0.00053883763,-0.0016905259,-0.0014122563
P08172,-4.9848647,-1.6497862,0.382578,-0.26582897,0.93209815,-0.26484656,-1.0912333,-0.7741537,-0.34746778,-1.0032325,-0.26982978,-0.6138057,-1.1155841,-0.5482169,-1.3589116,0.81574905,-1.166162,0.93370754,-0.089935616,-0.065814,0.39120755,-0.83950865,0.2775899,-0.5821601,-0.46195763,-0.0311331,0.866405,-0.928305,-2.082618,-2.2180212,0.5033525,-1.049824,0.55691123,0.28346068,-1.5257186,0.40733317,-0.5208222,-0.5035214,-1.375625,-0.42828897,-0.4766238,-1.4017888,-2.3693233,1.4048593,0.037430935,-0.1811799,4.254042,0.7648162,-1.6821293,3.477112,1.9073446,-2.4340029,2.8139405,1.3391252,1.0972779,-0.20339482,0.2954417,2.5343218,0.18223524,0.32912806,-0.9749606,0.5620411,-1.1845793,0.5322186
P08173,-4.9520774,-1.6495794,0.46326926,-0.2849988,1.0973998,-0.25684544,-1.1562533,-0.7786935,-0.35162535,-1.0172062,-0.22311492,-0.6223086,-1.0990717,-0.6321321,-1.4357413,0.82206744,-1.1746697,0.9051399,-0.04544736,-0.060962353,0.39376017,-0.85673165,0.2429075,-0.59362394,-0.45868185,-0.0030678327,0.91287535,-0.9812807,-2.1440542,-2.2965872,0.5420678,-1.0791645,0.5777867,0.27733317,-1.584511,0.41958624,-0.5459336,-0.5327395,-1.4520667,-0.4543209,-0.5018349,-1.4597837,-2.5056617,1.4927623,0.044489168,-0.20236123,4.594313,0.85888785,-1.8293611,3.7949724,2.0829847,-2.6618736,3.0770462,1.4736855,1.2065208,-0.22644952,0.29959038,2.8162048,0.21448399,0.3695505,-1.0859474,0.63932276,-1.3371979,0.60775864
P08581,-5.854006,-1.7023624,-0.6677556,-0.019835675,-0.084823824,-0.43984833,-0.33340025,-0.92442447,-0.4027622,-1.1612872,-0.5918431,-0.7466073,-1.606042,-0.38330963,-1.740371,0.835628,-1.6745712,0.871778,0.11059911,-0.12703285,0.810368,-1.947074,0.49337554,-1.7687833,-2.108835,-0.83110267,2.5637531,0.062294703,3.5006778,1.522835,0.5621748,0.7244981,0.38736022,0.15914795,0.5055064,-0.02631297,-0.0029039748,0.08129363,0.18595536,0.08537439,-0.016926685,0.20617592,0.15215935,0.004930336,0.0034187506,-0.005236894,-0.020356193,0.024048334,-0.004663883,0.013589661,0.009757116,-0.0055845026,-0.0003742541,0.0076129087,-0.0015440664,0.001147468,-0.003805116,0.0007859698,-0.00067440147,0.00029837512,-0.0018997805,-0.0044989344,0.009203321,-0.008928402
P08588,13.052723,-2.2151272,-5.2196746,15.268037,-6.5882754,-2.1857302,6.2935286,-1.1354594,-2.7678258,-1.8844973,34.973904,-1.050709,1.7221836,2.4505293,0.97914726,-12.0668955,-2.341731,-4.544384,-7.904068,-2.2356317,1.3024007,-0.24905524,0.6732856,-0.18739685,0.5136293,0.2813315,-0.10931851,0.7216676,0.7665296,-0.13893911,-0.3422301,-0.08749841,0.5251708,-0.9050616,0.5923279,-0.03460121,-0.27791858,-0.37471986,0.062965564,0.34664556,2.5161629,0.2526559,2.5475943,0.9592635,1.1054792,1.5143911,0.7921218,-3.4915295,1.1693158,1.2149166,1.1725265,-1.7128512,4.509307,1.0623453,2.449067,1.6065302,-7.1048727,-1.9040172,1.2825298,0.25507572,2.1757183,1.5064502,2.3185115,-0.9238323
P08908,-5.18625,-1.6459836,-0.027813533,-0.16670732,0.22326232,-0.30496928,-0.7576386,-0.75160015,-0.3280327,-0.93813485,-0.45576125,-0.5750812,-1.17506,-0.21645749,-1.0614647,0.75821924,-1.1160376,0.97423786,-0.22785446,-0.08094058,0.37252256,-0.75867385,0.38412938,-0.5273729,-0.46990654,-0.14556694,0.5604196,-0.6251817,-1.7432411,-1.7306951,0.26034862,-0.88315725,0.35955915,0.24097763,-1.2127628,0.31871608,-0.36524102,-0.35874584,-0.9895885,-0.31324545,-0.32050434,-1.1031318,-1.6632951,0.91324204,0.0049749482,-0.078603484,2.5392625,0.301231,-0.9421495,1.8904403,1.0248511,-1.3099141,1.5324993,0.6704422,0.57791954,-0.10203846,0.28012103,1.1695677,0.027743347,0.14666691,-0.47717863,0.19855893,-0.45344487,0.16846368
P08912,28.733963,2.6280296,32.021065,-5.88641,40.415737,1.6933124,-10.60058,-0.17515162,-0.52492046,-1.4877485,9.378104,-0.8363498,3.8009398,-12.210161,-10.1207075,-0.2349341,0.57706606,-7.088799,5.8111343,0.7222141,-0.42344445,-0.33750674,-3.494237,-0.1622573,0.8203021,2.1217737,0.2215185,-2.3793669,-0.4069587,1.240911,0.47609073,0.25890502,0.30564654,0.13977051,-0.12517297,-0.17907335,0.15637054,-0.0024221756,0.2602688,-0.20218989,-0.84511125,0.4239723,-0.29108587,-0.58149135,0.038836554,0.31869867,-0.14405647,-1.1869844,0.65719813,-0.49430442,-0.34929618,0.3276206,1.7126296,-0.6059861,1.3503087,-0.15691619,0.83919936,1.2326844,-1.6059645,-0.24496198,-0.3270829,-1.2477179,-0.42883778,0.1342179
P08913,-5.182602,-1.6462275,-0.023318334,-0.16786067,0.2255316,-0.3045536,-0.7614133,-0.751825,-0.32817402,-0.9385993,-0.45587704,-0.5753171,-1.17543,-0.21613228,-1.0608348,0.75990754,-1.1168721,0.9781588,-0.23002496,-0.08117271,0.3729652,-0.7592768,0.38587224,-0.5278263,-0.47018233,-0.14549275,0.566675,-0.62990725,-1.7480801,-1.7396914,0.2649306,-0.885709,0.36552224,0.24451174,-1.2167729,0.32078308,-0.3681056,-0.36017242,-0.9937026,-0.3137824,-0.32337725,-1.1065576,-1.6715537,0.9204834,0.0051857424,-0.07951266,2.5573857,0.30569103,-0.94988716,1.9065714,1.0340674,-1.3207748,1.5441735,0.6771137,0.58209866,-0.10248631,0.2800473,1.1816455,0.02903833,0.14770275,-0.47985274,0.20130827,-0.45957583,0.17159702
P09619,-5.9898367,-1.7636538,-0.70782363,-0.021625988,-0.09461769,-0.49627247,-0.37858608,-1.0650724,-0.46758586,-1.3585942,-0.6970632,-0.88734114,-1.9395393,-0.4701208,-2.1563814,1.0418893,-2.1388783,1.1542418,0.15047047,-0.18008007,1.155236,-2.8292127,0.72673553,-2.6742501,-3.2751215,-1.3018525,4.5232396,0.11485121,6.71609,2.9771712,1.185875,1.6138192,0.9445685,0.42101502,1.3404095,-0.080166176,-0.009103582,0.2590511,0.6333955,0.3145099,-0.06468532,0.8088744,0.67120296,0.025753547,0.021470647,-0.03618136,-0.16757762,0.23334865,-0.049931888,0.16205265,0.13442707,-0.07719525,-0.014564781,0.14794561,-0.028034754,0.03263663,-0.20808206,0.2766023,0.096384615,-0.0082375165,0.087814346,0.1021255,-0.22166957,0.15014517
P09917,-5.4864287,-1.6675799,-0.35514447,0.4137982,-0.10580312,-0.39448622,-0.33593467,-0.76061934,-0.32258332,-0.9341057,-0.94853723,-0.5321724,-1.5222806,0.60785323,-0.6792421,0.25180662,-1.1924057,0.45703906,0.6450743,0.24120101,0.18144925,-0.7677755,0.8348099,-1.0298089,1.7176381,0.36452225,1.0099256,-0.504044,-2.0038025,0.5525576,-1.5901604,-1.2833325,0.2305877,-1.2498069,-1.494505,-0.14039807,0.017548729,-2.454562,-0.78482,1.4872904,1.2318618,2.4954958,-2.0301197,1.7126037,1.3481301,-1.5020723,-2.9214008,-0.55053264,0.25387043,0.24518421,0.18222784,-0.08741922,0.41382703,0.049516555,0.032000374,0.029377727,-0.021499667,0.059664957,0.064936794,-0.042077437,0.0480309,-0.048091833,-0.009265818,-0.053500514
P0DMS8,-6.0534105,-1.8227799,-0.39364564,1.1439588,-0.42653847,-2.841268,-3.1456537,-3.9884036,-10.590829,39.514057,-0.2582083,-0.7089355,7.6789684,-3.676768,3.2625625,0.60976446,-4.4255424,-0.101839855,1.3333689,-3.2009284,2.2121537,-1.0901006,0.5282063,-0.07974848,-0.66096586,-0.1507133,-0.7849835,-2.022584,2.24183,-1.328381,-2.8503997,-0.21379104,-1.8698612,1.1074046,-1.2637433,-0.92951936,0.112587914,0.46879378,-1.3380946,0.6369287,0.049656827,0.92151046,-1.1233215,-0.26367685,0.3053266,-1.4741069,0.9438389,-1.6862515,0.37015504,0.29355612,-0.14157756,-1.0707256,-0.80048454,-0.017054232,-1.1947035,-5.1491027,-1.1341324,-0.37973416,-0.36171925,0.008911383,-0.23230423,-0.15021768,0.19513136,-0.1840624
